,question,expected_answer,chatbot_answer,page,chatbot_page,cos_sim_gpt35,rouge_1_f1_gpt35,rouge_2_f1_gpt35,rouge_l_f1_gpt35,page_match
186,What are the mistakes and what are the common causes?,"Shock is a life-threatening condition that occurs when the vital organs do not get enough oxygen-rich blood. It can be caused by significant fluid loss, such as diarrhea and vomiting. Children are especially prone to dehydration and can go into shock more easily.","The mistakes when using an inhaler are not holding the breath for as long as is comfortable, not shaking the inhaler before use, and not removing the cap from the inhaler. When assisting with childbirth, the mistakes are letting the woman leave to use the restroom, physically delaying delivery, placing fingers in the woman's vagina, and pulling on the baby. For miscarriage, the mistake is not calling EMS/9-1-1 when signs and symptoms are present.

The common causes of bone, muscle, and joint injuries include falls, awkward or sudden movements, direct blows to the body, and repetitive actions or forces, such as jogging. For allergic reactions, common causes include exposure to allergens such as peanuts and pollen, as well as almost anything that can produce an allergic reaction.",40,"['84', '139', '122']",0.35890764,0.1732283420844443,0.012121208326171987,0.1574803105883813,0
187,What should you do if you suspect pinworms?,"Wash the child's hands and nails, keep the child's fingernails short and discourage nail biting, make sure the child has a daily bath or shower and a daily change of towels, sheets, and underwear, doctors often prescribe oral medication, the whole family must be treated","If you suspect pinworms, you should wash the child’s hands and nails using a nail brush, keep the child’s fingernails short, discourage nail biting, ensure the child has a daily bath or shower and a daily change of towels, sheets, and underwear, and seek medical attention as doctors often prescribe oral medication. Additionally, the whole family must be treated, and the child should be kept home from the child care setting or school until after starting medication.",187,"['124', '187', '184']",0.69732517,0.6086956474102081,0.45614034622345334,0.5217391256710776,1
188,How do you remove exposed peanuts?,Gently grab the exposed end of the splinter with tweezers and carefully pull it out.,"To remove exposed peanuts, you should try to identify the allergen and have the person avoid further contact with it. If the person uses a medication to control allergic reactions, such as antihistamines, help them to take it. If the allergic reaction is severe, the person is struggling to breathe, or the person loses responsiveness, call EMS/9-1-1 and get an AED.",99,"['84', '46', '85']",0.22967458,0.16949152180407936,0.0,0.1355932167193336,0
189,What should be done after everyone is together at the designated meeting place?,Go to a neighbor's home to call the fire department.,"After everyone is together at the designated meeting place, the next step is to go to a neighbor's home to call the fire department. Once the fire trucks arrive, inform the firefighters that everyone has escaped the burning building.",202,"['13', '202', '12']",0.7420821,0.42105262796398896,0.34782608380907376,0.42105262796398896,1
190,Why should you know about prescription and generic drugs?,"Prescription drugs and common drugstore medications can make driving or operating machinery dangerous, so follow the directions on the package carefully.","Knowing about prescription and generic drugs is important because it helps ensure the safe and effective administration of medication. This includes understanding the proper dosage, timing, and potential interactions with other medications or allergies. It also allows for accurate documentation of the medication given, which is important for both the individual's health and for emergency medical personnel.",114,"['194', '36']",0.53134865,0.15384614958579892,0.0,0.12307691881656818,0
191,What should be done after applying the sling to recheck circulation?,"The circulation should be rechecked. Slings should fit tightly enough to restrict movement, but not be so tight that blood flow is affected. If fingers are bluish or cold or if the person feels numbness and tingling, the bandages should be loosened. If loosening the bandages does not improve circulation, EMS/9-1-1 should be called and an AED should be obtained immediately.","Recheck circulation by comparing the warmth and color of the fingers on the injured side with the other hand, and ask if the person has any numbness or tingling in the fingers. If fingers are bluish or cold, or if the person feels numbness and tingling, loosen the bandages. If loosening the bandages does not improve circulation, call EMS/9-1-1 and get an AED immediately.",126,"['127', '105', '126']",0.78763986,0.5111111061135803,0.3304347776120984,0.5111111061135803,1
192,When should intervention for chest compressions end?,"Interruptions should be limited to critical interventions, such as applying AED pads, allowing the AED to analyze or administer a shock, and clearing the airway.","Intervention for chest compressions should end when emergency medical services (EMS) arrive and take over, when the person shows signs of life, or when you are physically unable to continue.",71,"['70', '69']",0.38895327,0.19999999507200011,0.0,0.1199999950720002,0
193,Why is respiratory distress especially dangerous in children?,Respiratory distress is especially dangerous in children because it can quickly lead to cardiac arrest.,"Respiratory distress is especially dangerous in children because it can quickly lead to cardiac arrest. Any child showing signs of respiratory distress is in a potentially life-threatening situation and must receive immediate care. Additionally, severe trauma, electrical shocks, and drug overdoses are potential causes of cardiac arrest, and breathing emergencies can also lead to cardiac arrest in children.",80,"['80', '65']",0.88903016,0.5084745724791727,0.4242424208999082,0.5084745724791727,1
194,What are some steps to take care of sunburn?,"While the care for all burns is similar, specific care steps can vary depending on the cause of the burn. Care should be taken to monitor for hypothermia when cooling large burns. This is particularly important in children. Cover the person with a blanket if the person complains of feeling cold.","To take care of sunburn, you should:
- Limit exposure to the sun between 10:00 a.m. and 3:00 p.m.
- Wear light-colored clothing that covers as much of the body as possible.
- Use a broad-spectrum sunscreen with an SPF of at least 30 and reapply it every 2 hours, as well as after being in the water and after sweating.",95,"['95', '98']",0.39897096,0.1555555505950619,0.018018013086601465,0.1333333283728397,1
195,What should you do based on your findings?,"Decide whether you need to call EMS/9-1-1, and provide first aid care as needed.","Based on your findings, you should decide whether you need to call EMS/9-1-1 and provide first aid care as needed. If the person is responsive, you can also ask focused questions about how they feel and look for signs of injury or discomfort. If there are no signs of injury, you can ask the person to rest in a comfortable position and monitor their vital signs. If there are any concerns or if the person's condition deteriorates, provide first aid immediately and call for help.",38,"['37', '38', '18']",0.7299395,0.32432432125639155,0.2222222197506173,0.32432432125639155,1
196,Do adults also wear helmets when riding a bicycle?,"Yes, adults should always wear a helmet while riding a bicycle for safety reasons.","Yes, for safety reasons, adults should always wear a helmet while riding a bicycle.",200,"['200', '201']",0.98964155,0.9230769180769233,0.7692307642307693,0.7692307642307693,1
197,What is the first step in performing CPR on a child?,Place both of your hands on the centre of the person’s chest.,"The first step in performing CPR on a child is to do 30 chest compressions. Place 2 fingers on the middle of the child's chest, just below the nipple line, and push down at least 1/3 of the chest's depth, pushing deep and steady. The chest compression rate should be between 100 and 120 beats per minute. After the compressions, give 2 breaths by opening the airway with a head-tilt/chin-lift and using a barrier device over the child's mouth and nose.",66,"['71', '68', '69']",0.46920463,0.13698629900544196,0.04494381805832608,0.13698629900544196,0
198,What information should be prepared about the training of the ship?,Routine information about the ship should be prepared.,"You should prepare routine information about the ship, including details about its training and safety procedures. This may include information about radiotelephone procedures, such as the use of Channel 16 (156.8 MHz) or frequency 2,182 kHz, MF for safety and distress radio messages. Additionally, you should ensure that the ship's crew is trained in first aid and emergency response protocols, including the recovery position for unresponsive or altered level of responsiveness individuals.",34,"['34', '114']",0.6492045,0.11940298297170863,0.05128204964825777,0.11940298297170863,1
199,What should you know if the workplace has an AED on site?,"You should know the location of the AED, how to operate it, and the procedures around it, such as reporting its use or replacing its batteries.","You should familiarize yourself with the owner's manual and follow the manufacturer's instructions for maintenance. Check regularly to make sure that the battery is properly installed and has not reached its expiration date. Make sure AED pads are adequately stocked, stored in a sealed package, and within their expiration date. After using the AED, make sure that all supplies are restocked and that the device is in proper working order. If at any time the AED fails to work properly or warning indicators appear, take the AED out of service and contact the manufacturer or the appropriate person at your place of employment according to your employer's policy.",74,"['78', '77', '76']",0.740615,0.18181817836139175,0.03149605983011998,0.16161615815937158,0
200,What do you do if your baby is rattling and no longer making noises or is too weak to cough?,Have someone call EMS/9-1-1 and get an AED while you care for the baby.,"If the baby is making high-pitched noises, wheezing, can no longer make a sound, or becomes too weak to cough, have someone call EMS/9-1-1 and get an AED while you care for the baby. If you are alone, immediately begin care for complete choking and shout for help to try to attract the attention of a bystander. Then, follow the steps provided in the context to provide care for a choking baby.",51,"['51', '48']",0.63117015,0.39393939059687794,0.2962962936015852,0.39393939059687794,1
201,What should you do before the customer?,"Wash your hands thoroughly and check the medication three times: when you take it out from the cupboard or refrigerator, when you take it out of the package, and just before you administer it.","Before providing first aid to a customer, you should first check the scene for safety, assess the situation to determine what happened, and then recognize and act accordingly. This includes checking for hazards, assessing the cause of the emergency, and determining the appropriate course of action based on the person's condition.",194,"['29', '124', '42']",0.23596072,0.15624999531250014,0.05063290674571426,0.12499999531250018,0
202,What should you do if the person has nitroglycerin?,"If the person has nitroglycerin in a spray or pill form, ensure that the person sprays or places the nitroglycerin under their tongue.","If the person has nitroglycerin, offer to locate the medication and help the person to take it. If the person has nitroglycerin in a spray or pill form, ensure that the person sprays or places the nitroglycerin under his or her tongue. Reassure the person and have them rest comfortably. If acetylsalicylic acid (ASA) is available, encourage the person to chew 160 to 325 mg, unless the person has an allergy or a contraindication to ASA.",56,"['161', '56', '36']",0.75298125,0.515151511184573,0.4418604614250947,0.515151511184573,1
203,What would you do if you were alone?,Immediately begin care for complete choking and shout for help to try to attract the attention of a bystander.,"If you were alone and encountered a person with obvious signs of death, such as torso transection, decapitation, or decomposition, you should call EMS/9-1-1 immediately and follow the dispatcher's instructions. Leave the body and scene exactly as they were found, as the area could be considered a crime scene. If you encounter an unresponsive individual or someone with a life-threatening condition, you should always activate EMS by using a mobile phone if possible or asking a bystander to call EMS/9-1-1. If you are alone without a phone and there is no one to send to call EMS/9-1-1, you should activate EMS first so that help will arrive as soon as possible.",51,"['13', '32', '137']",0.3325405,0.15555555249135805,0.016528923087221207,0.11111110804691367,0
204,What are some precautions to prevent chemical burns?,"Store chemicals in their original containers. Wear protective gear when handling chemicals. Wash your hands after touching chemicals. Get trained in a hazardous materials training program, such as the Workplace Hazardous Materials Information System (WHMIS)/ Globally Harmonized System (GHS) of Classification and Labelling of Chemicals. Read the label before using a product. Be aware of caustic plants in your area.","The following precautions will help prevent chemical burns:
• Store chemicals in their original containers.
• Wear protective gear when handling chemicals.
• Wash your hands after touching chemicals.
• Get trained in a hazardous materials training program, such as the Workplace Hazardous Materials Information System (WHMIS)/Globally Harmonized System (GHS) of Classification and Labelling of Chemicals.
• Read the label before using a product.
• Be aware of caustic plants in your area.",94,"['94', '95']",0.81278515,0.8888888839163238,0.7846153796579882,0.8888888839163238,1
205,What are the three poisonous snakes born in Canada?,"Northern Pacific Rattlesnake, Massasauga Rattlesnake, Prairie Rattlesnake.","The three venomous snakes native to Canada are the Northern Pacific Rattlesnake, the Massasauga Rattlesnake, and the Prairie Rattlesnake.",174,"['174', '167', '159']",0.79526466,0.5454545414876033,0.33333332958333334,0.5454545414876033,1
206,How many AED pads should I use on my child?,"A child is considered to be between 1 and 8 years old. If child AED pads are unavailable, use adult pads.","If child AED pads are available, use them. If not, use adult pads. Place the pads at least 2.5 cm (1 in.) apart on the child's chest. If there is not enough space, place one pad on the chest and one on the back.",75,"['77', '75']",0.79773533,0.33962263690993244,0.1904761861426053,0.33962263690993244,1
207,What is the recommended volume for child compression?,Just enough volume to make the chest start to rise (1 second per breath),"The recommended compression depth for a child is to depress the chest to at least 1/3 of its depth, ideally reaching up to 1/2 of the front-to-back depth.",72,"['68', '70']",0.50220025,0.16666666205246927,0.04999999561250039,0.16666666205246927,0
208,What is the compression depth for child compression?,At least 1/3 of the chest’s depth,The compression depth for a child should be at least 1/3 of the chest's depth.,72,"['70', '72']",0.79361093,0.47619047174603185,0.29999999580000003,0.47619047174603185,1
209,What is a common cause of a hemorrhagic stroke?,A common cause of a hemorrhagic stroke is a ruptured brain aneurysm.,A common cause of a hemorrhagic stroke is a ruptured brain aneurysm.,58,"['58', '113']",1.0000002,0.999999995,0.999999995,0.999999995,1
210,What is mental first aid?,Mental health first aid is the initial care given by a First Aider to a person in a mental health crisis. It involves recognizing signs and symptoms and providing care until appropriate professional follow-up care is received or the crisis is resolved.,"Mental first aid is the initial care given by a First Aider to a person in a mental health crisis. It includes recognizing signs and symptoms and providing care until appropriate professional follow-up care is received or the crisis is resolved. This may involve looking, listening, and providing empathy, as well as referring the person to the appropriate follow-up care.",136,"['18', '136', '19']",0.96940756,0.84931506356915,0.7551020359496043,0.84931506356915,1
211,What should you take care of before making adjustments to the chair or tray?,"Ensure that the child’s hands, arms, and legs are clear of any moving parts.","Ensure that the child’s hands, arms, and legs are clear of any moving parts before making adjustments to the chair or the tray. Keep the chair a safe distance away from hazards such as windows, blind cords, and mirrors, or surfaces that a child could push off of such as walls, doors, or furniture.",197,"['197', '125']",0.784831,0.4999999962500001,0.40624999676269535,0.4999999962500001,1
212,What is the Cold-Shock Response?,Rapid cooling of the skin causes a gasp followed by hyperventilation (lasting 1 to 2 minutes).,"The Cold-Shock Response is the rapid cooling of the skin, which causes a gasp followed by hyperventilation lasting 1 to 2 minutes.",155,"['151', '155', '73']",0.90562415,0.6486486437399562,0.499999995138889,0.6486486437399562,1
213,How do you manage respiratory impairment in someone else?,"1. Keep the person still.
2. Treat any obvious external injuries.
3. Constantly monitor the person's condition as it may change rapidly.
4. Call EMS/9-1-1 and get an AED if necessary.","To manage respiratory impairment in someone else, it is important to first assess the person's breathing and look for signs of respiratory distress, such as shortness of breath, wheezing, or abnormal breathing patterns. If the person is experiencing respiratory distress, it is crucial to provide immediate care and, if necessary, call for emergency medical services (EMS/9-1-1). 

If the person is responsive, you can ask focused questions about how they feel and look for signs of injury or discomfort. If there are no signs of injury, you can help the person rest in a comfortable position and monitor their vital signs. It is important to continuously assess the person's breathing rate and provide care to help restore normal breathing. 

If the person's condition deteriorates or if there are signs of injury, it is important to provide first aid immediately and, if necessary, call for emergency medical services.",110,"['80', '38']",0.54584736,0.16666666265432112,0.042253517794088744,0.14814814413580257,0
214,What do you need a first aid manual for?,Canadian Red Cross first aid manual,You need a first aid manual to have a reference readily available for providing immediate care to an ill or injured person until more advanced care can be obtained.,12,"['18', '12']",0.53898627,0.18749999695312503,0.12121211864095506,0.18749999695312503,1
215,How should I cool the injured area?,"Using ice or another cold source, cool the injured area to help reduce pain and swelling. Place some sort of cloth, towel, or pad between the cold source and the skin to reduce the risk of freezing.","You should cool the injured area using ice or another cold source for 20 minutes, then take it off for 20 to 30 minutes. Continue to do this for as long as the person keeps feeling pain. Place some sort of cloth, towel, or pad between the cold source and the skin to reduce the risk of freezing.",99,"['124', '99']",0.76587474,0.6666666619135801,0.5714285666465403,0.6111111063580248,1
216,What do you do if your body cannot accept the drugs you ingest?,Assist by placing the correct number of pills into their mouth or holding a liquid dispenser up to their mouth if they explicitly ask for help.,"If your body cannot accept the drugs you ingest, you should seek medical attention immediately. Call emergency medical services (EMS) or 9-1-1 and explain the situation. It's important to provide as much information as possible about the medication you took, how much you took, and when you took it. If you have any allergies or are taking other medications, be sure to inform the medical personnel. It's crucial to follow their instructions and not take any additional medication until you receive guidance from a healthcare professional.",36,"['88', '114', '36']",0.48221558,0.11494252474038857,0.0,0.09195401899326217,1
217,Can children with lice go to school or child care?,Children may return to school or child care after the first treatment.,"Children with lice should not go to school or child care until they have been treated with the medicated shampoo recommended by a doctor and all nits have been removed. Additionally, it's important to disinfect clothing, bedding, and other items to prevent the spread of lice. Once treatment has been completed, children can return to school or child care.",186,"['186', '184']",0.504961,0.3157894703601109,0.15624999715332036,0.28070175106186523,1
218,How can you help a person calm down and control their breathing?,"1. Encourage the person to maintain eye contact with you.
2. Have the person breathe in through their nose while you raise your arm and count to five. Breathe with the person.
3. Have the person breathe out through their mouth, making an audible sound, while you slowly lower your arm and count to ten.
4. Repeat 3 to 5 times, providing encouragement in a calm voice.","To help a person calm down and control their breathing, you can encourage them to maintain eye contact with you and guide them through controlled breathing exercises. Have the person breathe in through their nose while you raise your arm and count to five, then have them breathe out through their mouth while you slowly lower your arm and count to ten. Repeat this process 3 to 5 times, providing encouragement in a calm voice.",40,"['40', '81', '82']",0.83778,0.6947368371324102,0.5691056861127637,0.6947368371324102,1
219,What would you do if someone with visual or hearing impairment intervened?,"Tell the intervenor who you are, but then speak directly to the ill or injured person.","If someone with visual or hearing impairment intervened, it's important to first acknowledge their presence and then ask them how you can best assist them. For someone with visual impairment, you may need to narrate your actions and communicate verbally. For someone with hearing impairment, you may need to get their attention before speaking and ask how they prefer to communicate. It's important to be patient and respectful of their needs and preferences.",42,"['42', '43']",0.3901262,0.1311475372749262,0.0,0.0983606520290246,1
220,What should I do if an injury or illness makes me feel weak or upset?,"If you feel faint or upset, you can close your eyes or turn away for a moment and take a few deep breaths to calm yourself. If you're still unable to give care, you can volunteer to help in other ways, such as calling EMS/9-1-1 and bringing necessary equipment and supplies.","If an injury or illness makes you feel weak or upset, it is important to seek help and support. You can call EMS/9-1-1 for immediate medical assistance. After the emergency is resolved, it is helpful to talk to somebody about the situation. If you experience ongoing stress symptoms for more than two weeks after the injury or illness, consider seeking professional help from your local crisis intervention line, family doctor, or a mental health professional.",15,"['21', '124', '137']",0.60959077,0.25999999516200006,0.04958677204016166,0.25999999516200006,0
221,What causes a diabetic emergency?,"If food intake, exercise, and medication are not in balance, the person may experience a diabetic emergency. This can happen when blood glucose levels fluctuate outside the normal range.","A diabetic emergency can be caused by fluctuations in blood glucose levels, resulting in either hyperglycemia (too much sugar in the blood) or hypoglycemia (too little sugar in the blood). Hyperglycemia can result from factors such as eating too much food, taking too little medication, exercising less than usual, or experiencing physical or emotional stress. Hypoglycemia can result from factors such as missing a meal or snack, exercising more than usual, vomiting, or taking too much medication.",131,"['131', '133', '130']",0.67218745,0.23076922616699547,0.04301074847959343,0.17948717488494426,1
222,What is the guideline for determining if an object is a choking hazard for children younger than 4 years old?,"Toys smaller than 4 cm (1.5 in.) in diameter are choking hazards for babies and toddlers. If an object can fit through a toilet paper tube, it is not safe for children younger than 4 years old.","If an object can fit through a toilet paper tube, it is not safe for children younger than 4 years old.",47,"['47', '46']",0.7955712,0.7499999953125,0.7017543814096646,0.7499999953125,1
223,What would you do if you added teeth?,"Put the tooth in propolis, egg white, coconut water, whole milk, or saline, if available, and keep it with the person. If none of these are available, wrap the tooth in gauze (or a clean cloth) with some of the person’s own saliva. Get the person to a dentist as soon as possible.","If you added teeth, you should carefully pick up the tooth by the crown (the whiter part), not the root. Put the tooth in propolis, egg white, coconut water, whole milk, or saline, if available, and keep it with the person. If none of these are available, wrap the tooth in gauze (or a clean cloth) with some of the person’s own saliva. Seal the container and label it with the name of the person, the date, and the time. Get the person to a dentist as soon as possible. The greatest chance for repair is during the first hour after the tooth is knocked out.",102,"['101', '36', '102']",0.82353646,0.7130434736725899,0.6575342421157816,0.7130434736725899,1
224,What would you do if possible?,"If possible, remove jewellery or other extraneous material that may restrict blood flow to the affected area. If possible, elevate any thawed extremities above the level of the heart.","If possible, you should call EMS/9-1-1 and get an AED if you suspect that a person might be having a heart attack. It is better to have EMS personnel arrive at the scene and not be needed than to have a person who is having a heart attack not receive medical attention.",150,"['57', '115', '137']",0.23685724,0.19047618568909055,0.027397255612686095,0.19047618568909055,0
225,What do you do if you can't see the name on your medication label?,"Try to confirm their identity by asking bystanders, looking for a piece of photo ID, or checking for a medical identification product.","If you can't see the name on your medication label, you should confirm with the person that it is the medication they want to take. If there is no name on the label, ask the person if it is the medication they intend to take. If the person cannot speak, you may be able to confirm their identity by asking bystanders, looking for a piece of photo ID, or checking for a medical identification product.",36,"['36', '194']",0.60345066,0.5588235252595156,0.4523809487528346,0.5588235252595156,1
226,What would you do if you were bitten by a snake?,"If you are bitten by a snake, you should call EMS/9-1-1 and get an AED. Before providing care, ensure that the snake is no longer present. Keep the injured site still and level with the heart, if possible. If the bite is on a limb, remove any jewellery or tight clothing from the limb and watch for swelling. Wash the wound with water and cover it with a clean, dry dressing.","If you are bitten by a snake, call EMS/9-1-1 and get an AED. Do not wait for life-threatening signs and symptoms of poisoning to appear. Before providing care, ensure that the snake is no longer present and remember what it looks like so that you can describe it to EMS personnel. Keep the injured site still and level with the heart, if possible, and remove any jewellery or tight clothing from the limb if the bite is on a limb. Wash the wound with water and cover it with a clean, dry dressing. Never attempt to capture or handle a potentially venomous snake.",175,"['174', '175']",0.90618634,0.7669172883577365,0.6395348788939968,0.7368421003878117,1
227,What are the symptoms of osteoporosis?,"The loss of density and strength leaves bones more susceptible to fractures (especially of the hips, vertebrae, and wrists). Instead of being caused by tremendous force, fractures may now occur spontaneously, with little or no aggravation, trauma, or force.","Symptoms of osteoporosis include fractures that occur with little or no force, especially in the hips, vertebrae, and wrists. Additionally, repeated fractures are a sign of osteoporosis.",128,"['128', '122']",0.5329875,0.41379309859690844,0.19047618568909055,0.3793103399762188,1
228,What would you do if you were to give birth while pregnant?,"Provide comfort and reassurance, facilitate the process, wait for EMS personnel to arrive.","If you were to give birth while pregnant, you should first have someone call EMS/9-1-1 if birth is imminent. Then, you should clear the area of unnecessary bystanders, help the woman into a position of comfort, and create a clean birthing area by placing clean blankets and/or towels under the woman. As the baby is being birthed, you should support the head as it is delivered, and once the shoulders emerge, the rest of the baby will be delivered very quickly. Position the baby face down, wipe any fluids or mucus away from the mouth and nose, and check the baby’s airway and breathing. Keep the baby warm and provide continual care for both the mother and the baby until EMS personnel arrive.",137,"['137', '138', '139']",0.4596665,0.1414141391327416,0.015748029784859757,0.1414141391327416,1
229,What are the signs and symptoms of urushiol contact?,"Itchy skin, reddening of the skin, bumps, and blisters.","The signs and symptoms of urushiol contact include itchy skin, reddening of the skin, bumps, and blisters. The rash can range from irritating to unbearable, depending on the person’s sensitivity, the amount of skin exposed, and the rash’s location.",165,"['165', '177']",0.50883716,0.36842104930747926,0.30434782321361065,0.36842104930747926,1
230,Does amputation always cause severe bleeding?,"No, bleeding may or may not be severe.",Amputation may or may not cause severe bleeding.,106,"['92', '106', '107']",0.75133896,0.7142857092857143,0.4285714235714286,0.5714285664285715,1
231,What should be done if a pregnant woman needs to be placed under the hip during CPR?,"If a bystander is available, ask them to find a soft object. Do not interrupt or delay starting CPR to find an object yourself.","If a pregnant woman needs to be placed under the hip during CPR, you should raise her right hip 7.5 to 10 cm (3 to 4 in.) to help blood return to the heart. If a bystander is available (or an appropriate object is within easy reach), ask the person to find a soft object that you can place under the woman’s hip, but do not interrupt or delay starting CPR to find an object yourself.",71,"['71', '68']",0.49698722,0.4358974320841552,0.3333333298003473,0.4358974320841552,1
232,What should you have to provide a barrier when giving rescue breaths?,"Barrier devices, such as a pocket mask or face shield","You should use a CPR breathing barrier, such as a face shield or a pocket mask, to provide a barrier when giving rescue breaths. These devices eliminate the need for mouth-to-mouth contact and protect you from bodily fluids.",12,"['26', '69']",0.6268164,0.311111107654321,0.1739130403308129,0.22222221876543213,0
233,What should EMS personnel do when they arrive and make the scene safe?,Offer your assistance as appropriate,"Once EMS personnel arrive and make the scene safe, they can offer their assistance as appropriate. They should continuously monitor the surroundings, and if hazards are present, they should stay at a safe distance and call EMS/9-1-1. If the scene is safe, they can provide emergency care to the ill or injured person.",29,"['29', '18']",0.3138582,0.1276595725667723,0.07547169671769313,0.1276595725667723,1
234,What are the symptoms of heat stroke?,"The symptoms of heat stroke include high core temperature, hot and dry skin, flushed or pale skin, headache, altered mental status (confusion), irritable or aggressive behavior, progressive loss of responsiveness, rapid and irregular pulse, rapid and shallow breathing, vision problems, seizures or coma.","The symptoms of heat stroke include a high core temperature above 40°C (104°F), hot and dry skin, flushed or pale skin, headache, altered mental status (e.g., confusion), irritable, bizarre, or aggressive behavior, progressive loss of responsiveness, rapid, weak pulse that becomes irregular, rapid, shallow breathing, vision problems, seizures, or coma.",146,"['144', '146', '145']",0.98553264,0.6987951758107128,0.5869565167982042,0.6987951758107128,1
235,What would you do if a person's condition improved?,Recommend that he or she eat a complete meal.,"If a person's condition improved, you would continue to monitor their vital signs and overall well-being. It's important to keep the person comfortable and reassured while waiting for EMS personnel to arrive. If the person is responsive, you can continue to ask them questions about how they are feeling and any changes in their symptoms. Always be prepared to provide any necessary information to EMS personnel when they arrive.",133,"['30', '130', '37']",0.042363897,0.03333333078333353,0.0,0.03333333078333353,0
236,What should you do after providing care and removing your gloves?,"After providing care and removing your gloves, you should dispose of the gloves properly, wash your hands thoroughly, and put on a clean pair of gloves before assisting the next person if multiple people require care.","After providing care and removing your gloves, you should dispose of the gloves properly and wash your hands thoroughly with soap and water for at least 30 seconds, using the proper handwashing technique. If the care provided involved a potential exposure incident, such as contact with bodily fluids, you should also decontaminate the exposed area if possible and report the incident to EMS personnel or your healthcare provider. If the exposure incident occurred in a workplace setting, you should also notify your supervisor and follow your company's exposure control plan for reporting the incident and receiving post-exposure follow-up care.",25,"['25', '27']",0.7785887,0.3434343392102847,0.21874999602661138,0.3030302988062443,1
237,What do employees do before closing the vehicle door?,"Caregivers should ensure that everyone's fingers, hands, and feet are clear of doors before the doors are closed.","Before closing the vehicle door, employees should ensure that all supplies are restocked and that the AED is in proper working order.",199,"['29', '40', '78']",0.43843073,0.33333332839506175,0.10526315295013873,0.2777777728395062,0
238,What should be done if blood or other potentially infectious materials spill onto the floor or another surface?,"If blood or other potentially infectious materials spill onto the floor or another surface, steps should be taken to prevent unnecessary people from accessing the area. Sharp objects should not be picked up with bare hands and should be removed and disposed of using tongs, a disposable scoop and scraper, or two pieces of cardboard. The spill should be carefully wiped up using absorbent towels and a disinfectant solution should be applied. After letting the solution stand for at least 10 minutes, the surface should be wiped clean and all materials used to clean up the spill should be disposed of in a labeled biohazard container.","If blood or other potentially infectious materials spill onto the floor or another surface, take steps to prevent unnecessary people from accessing the area. If the spill contains sharp objects, do not pick them up with your hands. Instead, use tongs, a disposable scoop and scraper, or two pieces of cardboard to remove and dispose of them. Carefully wipe up the spill using absorbent towels and/or use a solidifier (a fluid-absorbing powder). After cleaning up the spill, flood the area with a freshly mixed disinfectant solution of approximately 1 part bleach to 9 parts water (a 10% solution). Always ensure that there is good ventilation, and wear gloves and eye protection when using bleach. Let the solution stand on the surface for at least 10 minutes, then use clean absorbent materials (such as paper towels) to wipe up the liquid and dry the area. Dispose of all materials used to clean up the spill in a labeled biohazard container. If a biohazard container is not available, place the soiled materials in a sealable plastic bag or a plastic container with a lid, seal the container, and dispose of it properly.",26,"['27', '26', '23']",0.9020244,0.5789473637955679,0.3795620392008099,0.5684210480060943,1
239,What should you do after helping the person move away from asthma triggers?,"After helping the person move away from asthma triggers, you should help the person get into a comfortable position and provide reassurance. Assist the person in taking any prescribed quick-relief asthma medication that they have available.","After helping the person move away from asthma triggers, you should help the person get into a comfortable position and provide reassurance. If the person has prescribed quick-relief asthma medication available, help them to take it. If the person is struggling to breathe, their breathing does not improve after taking medication, or they become unresponsive, call EMS/9-1-1 and get an AED.",83,"['83', '82']",0.8827186,0.624999995253125,0.5168539279181922,0.624999995253125,1
240,What should you look for when reviewing?,"Hazards such as spilled chemicals, hostile bystanders, or oncoming traffic","When reviewing, you should look for any signs of injury or abnormalities in the person's vital signs, such as level of responsiveness, breathing, and skin condition. Additionally, you should ask questions to gather more information about the person's situation, including allergies, medications, past medical history, last oral intake, and events leading up to the emergency.",29,"['37', '36', '39']",0.3115232,0.105263155001539,0.032786882730449,0.07017543570329343,0
241,What precautions should you take around water?,"Always be very careful around water: Before diving, make sure that the water is deep enough, and check for objects below the surface, such as logs or pilings. Pools at homes, motels, or hotels may not be safe for diving. Enter unknown water feet first. Enter above-ground pools feet first. When bodysurfing, keep your arms out in front of you to protect your head and neck.","• Before diving, make sure the water is deep enough and check for objects below the surface.
• Enter unknown water feet first.
• Enter above-ground pools feet first.
• When bodysurfing, keep your arms out in front of you to protect your head and neck.",114,"['114', '94', '23']",0.8166219,0.717391299584121,0.6226415046493415,0.717391299584121,1
242,What dangers come with great pain?,Obesity also increases the risk of high blood pressure and blood cholesterol levels.,"Great pain can be a sign of a serious medical condition, such as a heart attack or stroke. It is important to seek medical attention if someone is experiencing great pain, especially if it is accompanied by symptoms such as difficulty breathing, unresponsiveness, or other concerning signs. Delaying medical care for severe pain can lead to further complications and worsen the underlying condition.",55,"['57', '95', '55']",0.10230793,0.09677419042663901,0.0,0.06451612591051004,1
243,How do you prepare an oral medication for a person?,Hand them the correct number of tablets.,"To prepare an oral medication for a person, you should wash your hands thoroughly and check the medication three times: when you take it out from the cupboard or refrigerator, when you take it out of the package, and just before you administer it. Keep a written record of the date and time the medication was given, the name of the person, the name of the medication, the person who gave the medication, and the amount given. Follow any specific directions for the medication, such as whether it should be taken with food.",36,"['36', '194']",0.45377433,0.06249999805175788,0.0,0.06249999805175788,1
